Year,N,r
1986,311,
1987,1413,4.54340836
1988,2683,1.898796886
1989,3135,1.168468133
1990,5378,1.715470494
1991,8725,1.622350316
1992,4485,0.514040115
1993,4447,0.991527313
1994,5742,1.291207556
1995,4956,0.863113898
1996,9242,1.864810331
1997,22090,2.390175287
1998,8925,0.404028972
1999,10908,1.222184874
2000,9770,0.895672901
2001,4097,0.419344933
2002,3173,0.774469124
2003,3125,0.984872361
2004,2520,0.8064
2005,1387,0.550396825
2006,291,0.209805335
2007,399,1.371134021
2008,754,1.889724311
2009,251,0.332891247
2010,137,0.545816733
2011,158,1.153284672
2012,201,1.272151899
2013,182,0.905472637
2014,313,1.71978022
2015,77,0.24600639
2016,60,0.779220779
2017,61,1.016666667
2018,21,0.344262295
2019,12,0.571428571
2020,16,1.333333333
2021,9,0.5625
2022,5,0.555555556
