Year,First,Peak,Last,Duration,N,r
1986,232,240,265,33,311,
1987,210,239,260,50,1413,4.54340836
1988,222,236,243,21,2683,1.898796886
1989,220,235,243,23,3135,1.168468133
1990,221,235,248,27,5378,1.715470494
1991,220,240,255,35,8725,1.622350316
1992,218,232,246,28,4485,0.514040115
1993,224,238,252,28,4447,0.991527313
1994,209,237,251,42,5742,1.291207556
1995,222,236,264,42,4956,0.863113898
1996,213,234,262,49,9242,1.864810331
1997,212,226,261,49,22090,2.390175287
1998,225,239,260,35,8925,0.404028972
1999,217,238,259,42,10908,1.222184874
2000,215,236,257,42,9770,0.895672901
2001,214,235,249,35,4097,0.419344933
2002,213,241,255,42,3173,0.774469124
2003,226,239,261,35,3125,0.984872361
2004,224,238,252,28,2520,0.8064
2005,223,244,265,42,1387,0.550396825
2006,228,249,270,42,291,0.209805335
2007,227,241,262,35,399,1.371134021
2008,220,232,253,33,754,1.889724311
2009,225,238,266,41,251,0.332891247
2010,229,245,279,50,137,0.545816733
2011,236,243,264,28,158,1.153284672
2012,221,235,270,49,201,1.272151899
2013,220,241,262,42,182,0.905472637
2014,219,240,254,35,313,1.71978022
2015,223,236,250,27,77,0.24600639
2016,221,243,250,29,60,0.779220779
2017,227,235,249,22,61,1.016666667
2018,234,241,255,21,21,0.344262295
2019,233,236,254,21,12,0.571428571
2020,226,243,254,28,16,1.333333333
2021,223,230,237,14,9,0.5625
2022,237,241,244,7,5,0.555555556
