"","N.1","N","nov_min_temp","nov_max_temp","aug_max_temp","dec_min_temp","july_max_temp","jan_min_temp","sept_max_temp","fall_precip","winter_precip","winter_min_temp_sd","winter_precip_sd","august_max_temp_sd","september_max_temp_sd","feb_min_temp","feb_max_temp","june_max_temp","june_max_temp_sd","july_max_temp_sd","dec_max_temp","nov_max_temp_sd.x"
"N.1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,1,0.249783072482837,-0.0587755026814729,-0.214683114639369,-0.0187903518908872,-0.197643992611758,0.166042548881821,-0.167201399690218,0.0982915991711539,0.193017491693118,0.198027267614704,0.132246572726772,0.398489118751711,-0.209958559215003,0.0831233180213177,-0.227476660836805,-0.284199402842731,0.0203025141036323,0.131840946736045,0.0179765873405788,-0.127256830664731
"nov_min_temp",NA,0.249783072482837,1,0.36128831838484,0.0770697090865116,0.25281461240644,0.269390464101763,-0.153249940331196,-0.229215498153846,-0.271864199715585,0.283118104020334,0.108563239191051,0.162990424519526,0.437021321878397,0.368230544385969,-0.0337011706596164,-0.154320024669138,-0.154732019699373,-0.0203886408367991,0.0887901941352461,-0.00654240284826043,-0.0928849863199471
"nov_max_temp",NA,-0.0587755026814729,0.36128831838484,1,0.27628393560111,0.230726925761054,0.265072154104944,0.0158043343948274,0.0445789006499753,-0.371096580533111,-0.0116791570015789,-0.286824729846638,-0.179283261967628,0.0850164265144423,0.185991113236576,0.0542033605602063,0.206770990435125,0.439196794670809,-0.205873831842105,-0.376589570488032,0.403145003335874,-0.0381844870733674
"aug_max_temp",NA,-0.214683114639369,0.0770697090865116,0.27628393560111,1,0.140546719178738,0.303123896281308,0.0553094595238425,0.384319247019759,-0.0555324161693526,-0.122771061990383,-0.331631007412456,-0.236284478521603,0.123592747528731,-0.0672928889972731,0.116038132112419,0.11952049923382,0.158389182833843,-0.189194134733391,-0.410318560703764,0.220918730118376,0.0928364263952804
"dec_min_temp",NA,-0.0187903518908872,0.25281461240644,0.230726925761054,0.140546719178738,1,0.283605066341247,0.378487712358391,0.0197335790789504,-0.0956765483536176,0.460726199240131,-0.00609790796502552,0.0110625233184863,-0.124141629937318,0.212368809210442,0.16424166833692,0.326897829478285,0.0903822414282947,-0.252647278660987,-0.446792652434525,0.476839257647853,-0.084575920603975
"july_max_temp",NA,-0.197643992611758,0.269390464101763,0.265072154104944,0.303123896281308,0.283605066341247,1,0.130400249607161,0.225745530206903,0.0583187917947909,0.125535097280302,-0.0695463532446052,-0.00512521063310317,-0.0621466245647705,0.119685650897987,0.00169298847505271,0.224140557308861,0.249563958883365,-0.105886052435913,-0.452086434885725,0.0917319954610408,-0.356008621102439
"jan_min_temp",NA,0.166042548881821,-0.153249940331196,0.0158043343948274,0.0553094595238425,0.378487712358391,0.130400249607161,1,-0.106512291628679,0.211152009972889,0.064251479928249,0.171171702859398,0.165204485023522,-0.0413518520478657,0.212393144692023,0.540036312185204,0.211852130321792,-0.0914534146560165,-0.0665947201411098,-0.214732159242477,0.0940927208852988,-0.0471318355300646
"sept_max_temp",NA,-0.167201399690218,-0.229215498153846,0.0445789006499753,0.384319247019759,0.0197335790789504,0.225745530206903,-0.106512291628679,1,0.0626830111467,-0.169381478824189,-0.2981001170019,-0.221808070653229,-0.299040546819852,-0.0569844978871315,-0.1145125885643,0.0894174468192881,0.10840433842867,0.0533216940538085,-0.375890688613323,0.157843448049159,-0.0826853607532389
"fall_precip",NA,0.0982915991711539,-0.271864199715585,-0.371096580533111,-0.0555324161693526,-0.0956765483536176,0.0583187917947909,0.211152009972889,0.0626830111467,1,-0.0498023404762403,0.174694366184204,0.0684836171992054,-0.0471600435523863,-0.167958286422474,-0.0544910936412702,-0.0126775409804438,-0.29234708466184,0.0341587116210462,0.0811851969377114,-0.267121095331404,-0.00547129348713169
"winter_precip",NA,0.193017491693118,0.283118104020334,-0.0116791570015789,-0.122771061990383,0.460726199240131,0.125535097280302,0.064251479928249,-0.169381478824189,-0.0498023404762403,1,0.0200461931036277,-0.0248146941502561,0.0289482267301149,-0.111392594681541,-0.042831582927417,-0.0752671730360332,-0.0268053706962085,0.0286192901244258,-0.0127517563585604,0.0704745414647481,-0.134356938096608
"winter_min_temp_sd",NA,0.198027267614704,0.108563239191051,-0.286824729846638,-0.331631007412456,-0.00609790796502552,-0.0695463532446052,0.171171702859398,-0.2981001170019,0.174694366184204,0.0200461931036277,1,0.887182529933616,0.0312232565487672,0.00691427539412076,0.324006247722498,0.244382691619593,-0.22659386419594,0.108651955884074,0.229461385332728,-0.0604961023569396,0.135438785453973
"winter_precip_sd",NA,0.132246572726772,0.162990424519526,-0.179283261967628,-0.236284478521603,0.0110625233184863,-0.00512521063310317,0.165204485023522,-0.221808070653229,0.0684836171992054,-0.0248146941502561,0.887182529933616,1,0.18151414208709,0.0516342188560965,0.324633138160132,0.195554362044297,-0.0773413005111862,0.0484621111871223,0.0741691247013513,-0.0567203759780269,-0.00854380396266229
"august_max_temp_sd",NA,0.398489118751711,0.437021321878397,0.0850164265144423,0.123592747528731,-0.124141629937318,-0.0621466245647705,-0.0413518520478657,-0.299040546819852,-0.0471600435523863,0.0289482267301149,0.0312232565487672,0.18151414208709,1,0.129634151684801,0.0997471826652446,-0.351233546344214,-0.116821809561684,-0.00654977823129989,0.0930926991547163,-0.0991710667083739,-0.187834819387337
"september_max_temp_sd",NA,-0.209958559215003,0.368230544385969,0.185991113236576,-0.0672928889972731,0.212368809210442,0.119685650897987,0.212393144692023,-0.0569844978871315,-0.167958286422474,-0.111392594681541,0.00691427539412076,0.0516342188560965,0.129634151684801,1,0.107339044230029,-0.0782052104449154,-0.0147509286948282,-0.123702939467219,0.0160951194703523,-0.101016325527652,0.221465923078922
"feb_min_temp",NA,0.0831233180213177,-0.0337011706596164,0.0542033605602063,0.116038132112419,0.16424166833692,0.00169298847505271,0.540036312185204,-0.1145125885643,-0.0544910936412702,-0.042831582927417,0.324006247722498,0.324633138160132,0.0997471826652446,0.107339044230029,1,0.496740543845193,-0.0606604545215858,-0.353215081616421,-0.278542241238259,0.191421019405891,-0.0194394316819983
"feb_max_temp",NA,-0.227476660836805,-0.154320024669138,0.206770990435125,0.11952049923382,0.326897829478285,0.224140557308861,0.211852130321792,0.0894174468192881,-0.0126775409804438,-0.0752671730360332,0.244382691619593,0.195554362044297,-0.351233546344214,-0.0782052104449154,0.496740543845193,1,0.328435104809281,-0.28513912644063,-0.337625294622925,0.356217165037663,-0.174680513240807
"june_max_temp",NA,-0.284199402842731,-0.154732019699373,0.439196794670809,0.158389182833843,0.0903822414282947,0.249563958883365,-0.0914534146560165,0.10840433842867,-0.29234708466184,-0.0268053706962085,-0.22659386419594,-0.0773413005111862,-0.116821809561684,-0.0147509286948282,-0.0606604545215858,0.328435104809281,1,-0.116240591457382,-0.473541286506446,0.387764940927244,-0.141300551526776
"june_max_temp_sd",NA,0.0203025141036323,-0.0203886408367991,-0.205873831842105,-0.189194134733391,-0.252647278660987,-0.105886052435913,-0.0665947201411098,0.0533216940538085,0.0341587116210462,0.0286192901244258,0.108651955884074,0.0484621111871223,-0.00654977823129989,-0.123702939467219,-0.353215081616421,-0.28513912644063,-0.116240591457382,1,0.433480419238407,-0.260675316810153,-0.000985847556665127
"july_max_temp_sd",NA,0.131840946736045,0.0887901941352461,-0.376589570488032,-0.410318560703764,-0.446792652434525,-0.452086434885725,-0.214732159242477,-0.375890688613323,0.0811851969377114,-0.0127517563585604,0.229461385332728,0.0741691247013513,0.0930926991547163,0.0160951194703523,-0.278542241238259,-0.337625294622925,-0.473541286506446,0.433480419238407,1,-0.299911283556533,0.0878220431110869
"dec_max_temp",NA,0.0179765873405788,-0.00654240284826043,0.403145003335874,0.220918730118376,0.476839257647853,0.0917319954610408,0.0940927208852988,0.157843448049159,-0.267121095331404,0.0704745414647481,-0.0604961023569396,-0.0567203759780269,-0.0991710667083739,-0.101016325527652,0.191421019405891,0.356217165037663,0.387764940927244,-0.260675316810153,-0.299911283556533,1,-0.0540897067658485
"nov_max_temp_sd.x",NA,-0.127256830664731,-0.0928849863199471,-0.0381844870733674,0.0928364263952804,-0.084575920603975,-0.356008621102439,-0.0471318355300646,-0.0826853607532389,-0.00547129348713169,-0.134356938096608,0.135438785453973,-0.00854380396266229,-0.187834819387337,0.221465923078922,-0.0194394316819983,-0.174680513240807,-0.141300551526776,-0.000985847556665127,0.0878220431110869,-0.0540897067658485,1
